username,review
chriz mary,"Saya edit bintangnya!! Tolong yah diperbaiki dulu, masa foto bujti pengiriman ga jelas item semua diterima aja, padahal barang belum sampai!! Saya belanja banyak banget ga inget harus cek satu2 tau2 udah selesai aja belom sempet klik komplain, pas cek bukti pengiriman ga jelas apa2an, saya chat tokped care nya malah template answer bukannya di tanya yg jelas ke kurirnya.. Padahal dulu pernah kejadian kaya gini tapi kurirnya bener dilacak, sampe barang ketemu. Sekarang kok malah klbikin kecewa!"
Kroco Mumet,"Sejak update, sekarang tidak lagi terlihat kapan terakhir penjual online, jadi beberapa kali pickup dengan seller yang super slow respon, bahkan sampai batal otomatis. Tolong kembalikan fitur kapan penjual terakhir online, agar pembeli bisa melihat dan memilih penjual yang responsif (online setiap saat), karena banyak penjual yg sudah tidak aktif berjualan, tapi masih onlineshoop nya masih aktif."
Yulia Dewi,"Tokopedia media belanja online yang super paling lama pengirimannya. Susah kalo mau cancel belanjaan. Suka ga suka harus terima. Yg parahnya lagi kurirnya wa setengah 12 malam udh dijln mau kirim barang. Tanpa konfirmasi dlu di sore hari nya. Emang kurir Jne dari toped 24 jam ya kerjanya? Kita customer, itu jam istirahat kita. Yg bner aja. Mengecewakan sekali. Kapok belanja disini!"
Miftahul Ilmi,"Banyak diskon dan promo, entah krn pengguna baru atau enggak gtw gue. Ongkirnya ga mahal mahal sama biaya penanganan murah gak menggemuk kayak diaplikasi orange. UI bagus dan mudah difahami. 2 minggu menggunakan aplikasi ini sudah nyaman"
Embun Pagi,Baru pertama transaksi setelah pembayaran via transfer bank berhasil malah dibatalkan sistem dan saldo masuk ke 'saldo refound' Kenapa juga setelah login pakai nomor malah ada email lain diakun tokopedia saya? Benar-benar aplikasi yang sangat mengecewakan
adit gmr,"ini gimana tokped judul barang harga murah saat di pilih kardusnya doang, jadi gak sesuai expextasi mana barang harga judul itu harus pas sesuai tampilan awal muka, jangan di alihkan ke variasi jadi ragu belanja sulit milih2 nya ribet. kecuali variasi itu sesuai kebutuhan"
Anton,"Halo kak. Di appsnya ada notifikasi unread chat, tapi tidak ada chat yang unread. Bagaimana cara perbaikinya? Edit: Dikasih link untuk kritik/saran tapi gak bisa diakses linknya [tkp.me/supportMainapps]. Bener2 ini kacau supportnya. Turunin lagi bintangnya."
A. Septa,"Kenapa Tokopedia makin buruk, sangat amat buruk: 1. Mau lihat harga, harganya malah diganti pakai harga diskon yg berubah-ubah terus. Jadi ngga jelas harga sebenarnya berapa. Diskon receh doang aja kok ganggu banget. 2. Menu sort lagi kacau, minta urut dari yg murah ke mahal, tetap saja harganya tidak urut. 3. Nama Kurir kenapa di sembunyikan?? Asal tau saja ya, ngga semua kurir Tokopedia itu bagus. Ada yg salah kirim terus. Kalu gini caranya saya mau berhenti belanja di Tokopedia."
endrik ahmad,"Diskonnya berubah lagi langganan Plus atau tidak, seperti tidak ada bedanya. Untuk dapat bebas ongkir yg seharusnya minimal belanja 0 rupiah, sekarang minimal belanja harus 20ribu baru dapat gratis ongkir. Padahal yg saya harapkan dari Langganan Plus adalah bebas ongkir dengan minimal belanja 0 rupiah."
Wahyu Joni Kurniawan,"kembalikan pengiriman YES JNE atau pilihan jasa lainnya.. dan berhenti gunakan jasa sicepat sebagai rekomendasi, barang selalu sampai sangat lama dan super lelet.. dengan berbagai alasan keterlambatan di sistem... memuakkan.."
Mamah Fahmi,"puas banget belanja di sini selain banyak promo juga pengirimannya cepat langsung diproses..tapi kemarin ada kendala pas mau belanja lagi itu dibatalkan secara otomatis,, lumayan agak kecewa dari situ,.mohon diperbaiki lagi ya sistemnya"
Mama RALI,"Penjual menjual barang palsu dengan harga ori, barangnya sudah saya kembalikan. Waktu barangnya kembali sudah ada bukti foto dari kurir bahwa barangnya sampe, penjual mengaku belum terima barangnya, tapi oleh tokopedia, uang saya diteruskan ke penjual. 2025 tokopedia semakin aneh, mendukung toko penipu."
